                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.0276,                0.77268,                 1.0507,                0.72551,                0.70588,                0.76559,                0.38211,                 1.7066,                 1.2698,                 1.5496,              0.0010417,              0.0010417,              0.0010417
                    124,                 1.0209,                0.76858,                 1.0852,                0.72551,                0.70588,                0.76559,                0.38211,                 1.7066,                 1.2698,                 1.5496,              0.0010338,              0.0010338,              0.0010338
                    125,                0.98748,                0.85293,                 1.0887,                0.72551,                0.70588,                0.76559,                0.38211,                 1.7066,                 1.2698,                 1.5496,              0.0010258,              0.0010258,              0.0010258
                    126,                0.99066,                0.74647,                 1.0812,                0.72551,                0.70588,                0.76559,                0.38211,                 1.7066,                 1.2698,                 1.5496,              0.0010179,              0.0010179,              0.0010179
                    127,                 1.0685,                 0.7738,                 1.0999,                0.87953,                0.70588,                0.84556,                0.43218,                 1.6182,                 1.1492,                 1.4963,                0.00101,                0.00101,                0.00101
                    128,                  1.067,                0.73584,                 1.0434,                0.87953,                0.70588,                0.84556,                0.43218,                 1.6182,                 1.1492,                 1.4963,              0.0010021,              0.0010021,              0.0010021
                    129,                 1.1371,                0.78109,                 1.0766,                0.87953,                0.70588,                0.84556,                0.43218,                 1.6182,                 1.1492,                 1.4963,             0.00099416,             0.00099416,             0.00099416
                    130,                 1.0048,                0.75073,                 1.0617,                0.87953,                0.70588,                0.84556,                0.43218,                 1.6182,                 1.1492,                 1.4963,             0.00098624,             0.00098624,             0.00098624
                    131,                0.96952,                 0.8899,                 1.1048,                0.81625,                0.82353,                0.88845,                0.48032,                 1.6016,                 1.0781,                 1.5197,             0.00097832,             0.00097832,             0.00097832
                    132,                0.93985,                0.86651,                 1.0816,                0.81625,                0.82353,                0.88845,                0.48032,                 1.6016,                 1.0781,                 1.5197,              0.0009704,              0.0009704,              0.0009704
                    133,                0.96167,                0.75179,                 1.0508,                0.81625,                0.82353,                0.88845,                0.48032,                 1.6016,                 1.0781,                 1.5197,             0.00096248,             0.00096248,             0.00096248
                    134,                0.93087,                0.77573,                 1.0716,                0.81625,                0.82353,                0.88845,                0.48032,                 1.6016,                 1.0781,                 1.5197,             0.00095456,             0.00095456,             0.00095456
                    135,                0.99241,                 0.7226,                 1.0554,                0.88957,                0.97059,                  0.939,                0.52464,                 1.5072,                0.91575,                 1.4773,             0.00094664,             0.00094664,             0.00094664
                    136,                 1.0265,                0.75767,                 1.0886,                0.88957,                0.97059,                  0.939,                0.52464,                 1.5072,                0.91575,                 1.4773,             0.00093872,             0.00093872,             0.00093872
                    137,                0.86085,                0.93633,                  1.074,                0.88957,                0.97059,                  0.939,                0.52464,                 1.5072,                0.91575,                 1.4773,              0.0009308,              0.0009308,              0.0009308
                    138,                0.97154,                0.75433,                 1.0709,                0.88957,                0.97059,                  0.939,                0.52464,                 1.5072,                0.91575,                 1.4773,             0.00092288,             0.00092288,             0.00092288
                    139,                0.82215,                0.79219,                 1.0459,                0.93158,                0.94118,                0.95772,                0.56084,                 1.4053,                0.87019,                 1.4429,             0.00091496,             0.00091496,             0.00091496
                    140,                 1.0392,                 0.7879,                 1.0847,                0.93158,                0.94118,                0.95772,                0.56084,                 1.4053,                0.87019,                 1.4429,             0.00090704,             0.00090704,             0.00090704
                    141,                 1.0047,                0.76948,                 1.1247,                0.93158,                0.94118,                0.95772,                0.56084,                 1.4053,                0.87019,                 1.4429,             0.00089912,             0.00089912,             0.00089912
                    142,                0.99798,                0.79846,                 1.0429,                0.93158,                0.94118,                0.95772,                0.56084,                 1.4053,                0.87019,                 1.4429,              0.0008912,              0.0008912,              0.0008912
                    143,                 0.9387,                0.79691,                 1.0486,                0.93434,                0.94118,                0.96285,                0.58905,                 1.3726,                0.83157,                 1.4333,             0.00088328,             0.00088328,             0.00088328
                    144,                0.87051,                0.69228,                 1.0418,                0.93434,                0.94118,                0.96285,                0.58905,                 1.3726,                0.83157,                 1.4333,             0.00087536,             0.00087536,             0.00087536
                    145,                0.87376,                0.72294,                 1.0235,                0.93434,                0.94118,                0.96285,                0.58905,                 1.3726,                0.83157,                 1.4333,             0.00086744,             0.00086744,             0.00086744
                    146,                0.91297,                0.72983,                 1.0481,                0.93434,                0.94118,                0.96285,                0.58905,                 1.3726,                0.83157,                 1.4333,             0.00085952,             0.00085952,             0.00085952
                    147,                 1.0083,                  0.788,                  1.058,                0.91606,                0.96312,                0.95456,                0.57044,                 1.4028,                0.83016,                 1.4479,              0.0008516,              0.0008516,              0.0008516
